gid,week,year,player_name,position,team_name,home_or_away,opponent_name,points,salary,dfs_site
1242,1,2018,"Fitzpatrick, Ryan",QB,tam,a,nor,45.28,5000.0,dk
1151,1,2018,"Brees, Drew",QB,nor,h,tam,34.56,6800.0,dk
1231,1,2018,"Rivers, Philip",QB,lac,h,kan,32.96,6400.0,dk
1523,1,2018,"Mahomes II, Patrick",QB,kan,a,lac,28.34,6000.0,dk
1435,1,2018,"Keenum, Case",QB,den,h,sea,25.16,5100.0,dk
1252,1,2018,"Rodgers, Aaron",QB,gnb,h,chi,24.94,7500.0,dk
1400,1,2018,"Taylor, Tyrod",QB,cle,h,pit,24.58,5400.0,dk
1409,1,2018,"Luck, Andrew",QB,ind,h,cin,23.46,6100.0,dk
1412,1,2018,"Wilson, Russell",QB,sea,a,den,22.42,6200.0,dk
1131,1,2018,"Brady, Tom",QB,nwe,h,hou,22.28,7200.0,dk
1302,1,2018,"Flacco, Joe",QB,bal,h,buf,21.74,4900.0,dk
1415,1,2018,"Cousins, Kirk",QB,min,h,sfo,20.36,6500.0,dk
1254,1,2018,"Smith, Alex",QB,was,a,ari,19.6,5600.0,dk
1378,1,2018,"Newton, Cam",QB,car,h,dal,18.24,6900.0,dk
1403,1,2018,"Dalton, Andy",QB,cin,a,ind,17.52,5800.0,dk
1490,1,2018,"Goff, Jared",QB,lar,a,oak,17.22,6700.0,dk
1232,1,2018,"Roethlisberger, Ben",QB,pit,a,cle,17.0,6600.0,dk
1410,1,2018,"Tannehill, Ryan",QB,mia,h,ten,15.6,5300.0,dk
1519,1,2018,"Trubisky, Mitchell",QB,chi,a,gnb,15.04,5600.0,dk
1524,1,2018,"Darnold, Sam",QB,nyj,a,det,14.82,5400.0,dk
1442,1,2018,"Bortles, Blake",QB,jac,a,nyg,14.24,5600.0,dk
1518,1,2018,"Watson, Deshaun",QB,hou,a,nwe,13.04,6700.0,dk
1441,1,2018,"Carr, Derek",QB,oak,h,lar,12.22,6000.0,dk
1340,1,2018,"Stafford, Matthew",QB,det,h,nyj,12.04,6500.0,dk
1452,1,2018,"Garoppolo, Jimmy",QB,sfo,a,min,12.04,5700.0,dk
1301,1,2018,"Ryan, Matt",QB,atl,a,phi,9.84,6300.0,dk
1501,1,2018,"Prescott, Dak",QB,dal,a,car,9.7,5500.0,dk
1225,1,2018,"Manning, Eli",QB,nyg,h,jac,8.16,4700.0,dk
1413,1,2018,"Foles, Nick",QB,phi,h,atl,6.08,5900.0,dk
1529,1,2018,"Allen, Josh",QB,buf,a,bal,5.56,4400.0,dk
1527,1,2018,"Jackson, Lamar",QB,bal,h,buf,4.86,4600.0,dk
1344,1,2018,"Bradford, Sam",QB,ari,h,was,4.82,5200.0,dk
1381,1,2018,"Gabbert, Blaine",QB,ten,a,mia,3.68,4500.0,dk
1466,1,2018,"Mariota, Marcus",QB,ten,a,mia,3.62,6300.0,dk
1517,1,2018,"Kizer, DeShone",QB,gnb,h,chi,0.2,4500.0,dk
1530,1,2018,"Hill, Taysom",QB,nor,h,tam,0.0,4400.0,dk
5071,1,2018,"Webb, Joe",QB,hou,a,nwe,0.0,4000.0,dk
1241,1,2018,"Cassel, Matt",QB,det,h,nyj,-0.54,4600.0,dk
1522,1,2018,"Peterman, Nathan",QB,buf,a,bal,-0.94,4200.0,dk
5562,1,2018,"Kamara, Alvin",RB,nor,h,tam,46.1,8500.0,dk
5537,1,2018,"Conner, James",RB,pit,a,cle,38.2,4500.0,dk
2991,1,2018,"Gordon, Melvin",RB,lac,h,kan,30.6,6800.0,dk
2992,1,2018,"Gurley, Todd",RB,lar,a,oak,26.7,9300.0,dk
5535,1,2018,"Mixon, Joe",RB,cin,a,ind,25.9,6100.0,dk
2969,1,2018,"Crowell, Isaiah",RB,nyj,a,det,25.2,4900.0,dk
2915,1,2018,"Thompson, Chris",RB,was,a,ari,24.8,4700.0,dk
5614,1,2018,"Barkley, Saquon",RB,nyg,h,jac,23.8,6700.0,dk
2553,1,2018,"Peterson, Adrian",RB,was,a,ari,23.6,4700.0,dk
5575,1,2018,"Ekeler, Austin",RB,lac,h,kan,23.6,4400.0,dk
2816,1,2018,"Lewis, Dion",RB,ten,a,mia,22.0,4900.0,dk
2998,1,2018,"Ajayi, Jay",RB,phi,h,atl,20.2,5500.0,dk
5630,1,2018,"Lindsay, Phillip",RB,den,h,sea,18.2,3000.0,dk
5395,1,2018,"Johnson, David",RB,ari,h,was,17.7,8800.0,dk
