gid,week,year,player_name,position,team_name,home_or_away,opponent_name,points,salary,dfs_site
1242,1,2018,"Fitzpatrick, Ryan",QB,tam,a,nor,42.28,6200.0,fd
1151,1,2018,"Brees, Drew",QB,nor,h,tam,31.56,8400.0,fd
1231,1,2018,"Rivers, Philip",QB,lac,h,kan,29.96,7500.0,fd
1523,1,2018,"Mahomes II, Patrick",QB,kan,a,lac,28.34,6700.0,fd
1252,1,2018,"Rodgers, Aaron",QB,gnb,h,chi,24.94,8700.0,fd
1400,1,2018,"Taylor, Tyrod",QB,cle,h,pit,24.58,6600.0,fd
1412,1,2018,"Wilson, Russell",QB,sea,a,den,22.42,7900.0,fd
1131,1,2018,"Brady, Tom",QB,nwe,h,hou,22.28,8600.0,fd
1435,1,2018,"Keenum, Case",QB,den,h,sea,22.16,6300.0,fd
1302,1,2018,"Flacco, Joe",QB,bal,h,buf,21.74,6100.0,fd
1409,1,2018,"Luck, Andrew",QB,ind,h,cin,20.46,7300.0,fd
1415,1,2018,"Cousins, Kirk",QB,min,h,sfo,20.36,7600.0,fd
1254,1,2018,"Smith, Alex",QB,was,a,ari,19.6,6900.0,fd
1378,1,2018,"Newton, Cam",QB,car,h,dal,18.24,8100.0,fd
1403,1,2018,"Dalton, Andy",QB,cin,a,ind,17.52,6800.0,fd
1490,1,2018,"Goff, Jared",QB,lar,a,oak,17.22,7500.0,fd
1410,1,2018,"Tannehill, Ryan",QB,mia,h,ten,15.6,6200.0,fd
1524,1,2018,"Darnold, Sam",QB,nyj,a,det,14.82,6100.0,fd
1442,1,2018,"Bortles, Blake",QB,jac,a,nyg,14.24,6600.0,fd
1519,1,2018,"Trubisky, Mitchell",QB,chi,a,gnb,14.04,6500.0,fd
1518,1,2018,"Watson, Deshaun",QB,hou,a,nwe,12.04,8200.0,fd
1340,1,2018,"Stafford, Matthew",QB,det,h,nyj,12.04,7800.0,fd
1452,1,2018,"Garoppolo, Jimmy",QB,sfo,a,min,12.04,7100.0,fd
1232,1,2018,"Roethlisberger, Ben",QB,pit,a,cle,12.0,8000.0,fd
1301,1,2018,"Ryan, Matt",QB,atl,a,phi,9.84,7000.0,fd
1441,1,2018,"Carr, Derek",QB,oak,h,lar,9.22,6600.0,fd
1501,1,2018,"Prescott, Dak",QB,dal,a,car,8.7,7000.0,fd
1225,1,2018,"Manning, Eli",QB,nyg,h,jac,8.16,6300.0,fd
1413,1,2018,"Foles, Nick",QB,phi,h,atl,5.58,7400.0,fd
1529,1,2018,"Allen, Josh",QB,buf,a,bal,5.56,6000.0,fd
1527,1,2018,"Jackson, Lamar",QB,bal,h,buf,4.86,6100.0,fd
1344,1,2018,"Bradford, Sam",QB,ari,h,was,3.82,6400.0,fd
1381,1,2018,"Gabbert, Blaine",QB,ten,a,mia,3.68,6000.0,fd
1466,1,2018,"Mariota, Marcus",QB,ten,a,mia,3.62,7200.0,fd
1530,1,2018,"Hill, Taysom",QB,nor,h,tam,0.0,6000.0,fd
5071,1,2018,"Webb, Joe",QB,hou,a,nwe,0.0,6000.0,fd
1241,1,2018,"Cassel, Matt",QB,det,h,nyj,-0.54,6000.0,fd
1517,1,2018,"Kizer, DeShone",QB,gnb,h,chi,-0.8,6000.0,fd
