gid,week,year,player_name,position,team_name,home_or_away,opponent_name,points,salary,dfs_site
1539,10,2019,"Jones, Daniel",QB,nyg,a,nyj,34.32,5700,dk
1527,10,2019,"Jackson, Lamar",QB,bal,a,cin,33.42,7300,dk
1523,10,2019,"Mahomes II, Patrick",QB,kan,a,ten,32.84,7000,dk
1537,10,2019,"Murray, Kyler",QB,ari,a,tam,30.76,6500,dk
1501,10,2019,"Prescott, Dak",QB,dal,h,min,29.88,6400,dk
1529,10,2019,"Allen, Josh",QB,buf,a,cle,25.44,6300,dk
1465,10,2019,"Winston, Jameis",QB,tam,h,ari,23.32,6800,dk
1524,10,2019,"Darnold, Sam",QB,nyj,h,nyg,21.7,5800,dk
1410,10,2019,"Tannehill, Ryan",QB,ten,h,kan,19.94,5100,dk
1519,10,2019,"Trubisky, Mitchell",QB,chi,h,det,19.72,5100,dk
1415,10,2019,"Cousins, Kirk",QB,min,a,dal,19.3,6100,dk
1494,10,2019,"Driskel, Jeff",QB,det,a,chi,19.06,4100,dk
1536,10,2019,"Allen, Kyle",QB,car,a,gnb,18.48,5100,dk
1528,10,2019,"Mayfield, Baker",QB,cle,h,buf,17.62,5000,dk
1412,10,2019,"Wilson, Russell",QB,sea,a,sfo,17.58,6500,dk
1301,10,2019,"Ryan, Matt",QB,atl,a,nor,15.58,6100,dk
1242,10,2019,"Fitzpatrick, Ryan",QB,mia,a,ind,14.06,5200,dk
1526,10,2019,"Rudolph, Mason",QB,pit,h,lar,13.58,4900,dk
1231,10,2019,"Rivers, Philip",QB,lac,a,oak,13.28,5500,dk
1441,10,2019,"Carr, Derek",QB,oak,h,lac,13.12,5600,dk
1452,10,2019,"Garoppolo, Jimmy",QB,sfo,h,sea,13.02,6300,dk
1151,10,2019,"Brees, Drew",QB,nor,h,atl,11.48,6700,dk
1545,10,2019,"Finley, Ryan",QB,cin,h,bal,10.88,4800,dk
1252,10,2019,"Rodgers, Aaron",QB,gnb,h,car,10.02,6600,dk
1336,10,2019,"Hoyer, Brian",QB,ind,h,mia,9.16,5900,dk
1490,10,2019,"Goff, Jared",QB,lar,a,pit,6.72,6200,dk
1530,10,2019,"Hill, Taysom",QB,nor,h,atl,3.08,4000,dk
1408,10,2019,"Griffin III, Robert",QB,bal,a,cin,0.7,5000,dk
1442,10,2019,"Bortles, Blake",QB,lar,a,pit,0.1,4200,dk
1525,10,2019,"Rosen, Josh",QB,mia,a,ind,0.0,4700,dk
5445,10,2019,"Henry, Derrick",RB,ten,h,kan,36.1,6400,dk
5559,10,2019,"Cook, Dalvin",RB,min,a,dal,31.3,9100,dk
5536,10,2019,"McCaffrey, Christian",RB,car,a,gnb,29.1,10500,dk
5543,10,2019,"Jones, Aaron",RB,gnb,h,car,27.3,7400,dk
5617,10,2019,"Jones, Ronald",RB,tam,h,ari,23.6,4300,dk
2991,10,2019,"Gordon, Melvin",RB,lac,a,oak,23.3,4600,dk
5535,10,2019,"Mixon, Joe",RB,cin,h,bal,20.1,4700,dk
5565,10,2019,"Carson, Chris",RB,sea,a,sfo,19.1,6700,dk
5712,10,2019,"Jacobs, Josh",RB,oak,h,lac,19.1,5700,dk
5622,10,2019,"Chubb, Nick",RB,cle,h,buf,17.1,7000,dk
2888,10,2019,"Bell, Le'Veon",RB,nyj,h,nyg,16.8,6900,dk
5562,10,2019,"Kamara, Alvin",RB,nor,h,atl,15.4,8200,dk
2957,10,2019,"Williams, Damien",RB,kan,a,ten,14.9,4900,dk
5560,10,2019,"Hunt, Kareem",RB,cle,h,buf,14.4,3000,dk
5608,10,2019,"Hill, Brian",RB,atl,a,nor,14.1,3900,dk
5564,10,2019,"Cohen, Tarik",RB,chi,h,det,13.7,4200,dk
5575,10,2019,"Ekeler, Austin",RB,lac,a,oak,12.8,5500,dk
5507,10,2019,"Barber, Peyton",RB,tam,h,ari,11.7,3700,dk
5586,10,2019,"McKissic, J.D.",RB,det,a,chi,11.5,4300,dk
2994,10,2019,"Coleman, Tevin",RB,sfo,h,sea,11.2,5600,dk
5446,10,2019,"Drake, Kenyan",RB,ari,a,tam,10.1,5500,dk
2793,10,2019,"Ingram, Mark",RB,bal,a,cin,9.4,7100,dk
5548,10,2019,"Mack, Marlon",RB,ind,h,mia,9.2,7000,dk
5628,10,2019,"Ballage, Kalen",RB,mia,a,ind,8.5,3800,dk
5623,10,2019,"Hines, Nyheim",RB,ind,h,mia,8.4,4500,dk
5444,10,2019,"Elliott, Ezekiel",RB,dal,h,min,8.3,8900,dk
5490,10,2019,"Richard, Jalen",RB,oak,h,lac,8.3,3600,dk
5764,10,2019,"Ingold, Alec",RB,oak,h,lac,8.2,3000,dk
5614,10,2019,"Barkley, Saquon",RB,nyg,a,nyj,8.1,8800,dk
5717,10,2019,"Singletary, Devin",RB,buf,a,cle,8.0,5000,dk
2930,10,2019,"Freeman, Devonta",RB,atl,a,nor,7.8,5100,dk
2992,10,2019,"Gurley, Todd",RB,lar,a,pit,7.3,6100,dk
5688,10,2019,"Samuels, Jaylen",RB,pit,h,lar,7.0,6300,dk
5720,10,2019,"Mattison, Alexander",RB,min,a,dal,6.4,4500,dk
5541,10,2019,"Williams, Jamaal",RB,gnb,h,car,6.3,5200,dk
